No.overall,Directed by,No. inseason,Original air date,Prod.code,Title,U.S. viewers(millions),Written and storyboarded by
68,Jasmin Lai (art),15,"September 10, 2015",1031-069,"""Nightmare Hospital""",1.39,Raven M. Molisee and Paul Villeco
69,Kat Morris (supervising)Jasmin Lai (art),16,"September 17, 2015",1031-073,"""Sadie's Song""",1.50,Raven M. Molisee and Paul Villeco
70,Kat Morris (supervising)Jasmin Lai (art),17,"September 24, 2015",1031-070,"""Catch and Release""",1.39,Hilary Florido and Jesse Zuke
71,Joe Johnston (supervising)Jasmin Lai (art),18,"October 1, 2015",1031-071,"""When It Rains""",1.36,Lamar Abrams and Katie Mitroff
72,Joe Johnston (supervising)Jasmin Lai (art),19,"October 8, 2015",1031-072,"""Back to the Barn""",1.59,Joe Johnston and Jeff Liu
73,Kat Morris (supervising)Jasmin Lai (art),20,"October 15, 2015[nb 6]",1031-074,"""Too Far""",1.39,Hilary Florido and Jesse Zuke
74,Joe Johnston (supervising)Jasmin Lai (art),21,"January 4, 2016",1031-075,"""The Answer""",1.38,Lamar Abrams and Katie Mitroff
75,Joe Johnston (supervising)Jasmin Lai (art),22,"January 5, 2016",1031-079,"""Steven's Birthday""",1.35,Lamar Abrams and Katie Mitroff
76,Joe Johnston (supervising)Jasmin Lai (art),23,"January 6, 2016",1031-076,"""It Could've Been Great""",1.45,Joe Johnston and Jeff Liu
77,Kat Morris (supervising)Jasmin Lai (art),24,"January 7, 2016",1031-077,"""Message Received""",1.39,Raven M. Molisee and Paul Villeco
78,Kat Morris (supervising)Jasmin Lai (art),25,"January 8, 2016",1031-078,"""Log Date 7 15 2""",1.34,Hilary Florido and Jesse Zuke
79,Joe Johnston (supervising)Jasmin Lai (art),1,"May 12, 2016",1031-080,"""Super Watermelon Island"" (Part 1)",1.69,Joe Johnston and Jeff Liu
80,Kat Morris (supervising)Jasmin Lai (art),2,"May 12, 2016",1031-081,"""Gem Drill"" (Part 2)",1.69,Raven M. Molisee and Paul Villeco
81,Joe Johnston (supervising)Jasmin Lai (art),3,"May 19, 2016",1031-083,"""Same Old World""",1.40,Lamar Abrams and Katie Mitroff
82,Joe Johnston (supervising)Jasmin Lai (art),4,"May 26, 2016[nb 7]",1031-082,"""Barn Mates""",1.37,Hilary Florido and Jesse Zuke
83,Joe Johnston (supervising)Jasmin Lai (art),5,"June 2, 2016[nb 7]",1031-084,"""Hit the Diamond""",1.55,Joe Johnston and Jeff Liu
84,Kat Morris (supervising)Jasmin Lai (art),6,"July 18, 2016[nb 8]",1031-085,"""Steven Floats""",1.55,Paul Villeco
85,Joe Johnston (supervising)Jasmin Lai (art),7,"July 18, 2016",1031-087,"""Drop Beat Dad""",1.55,Lamar Abrams and Katie Mitroff
86,Joe Johnston (supervising)Jasmin Lai (art),8,"July 19, 2016",1031-088,"""Mr. Greg""",1.55,Joe Johnston and Jeff Liu
87,Kat Morris (supervising)Jasmin Lai (art),9,"July 20, 2016",1031-086,"""Too Short to Ride""",1.41,Hilary Florido and Jesse Zuke
88,Kat Morris (supervising)Jasmin Lai (art),10,"July 21, 2016",1031-089,"""The New Lars""",1.53,Raven M. Molisee and Paul Villeco
89,Kat Morris (supervising)Jasmin Lai (art),11,"July 22, 2016",1031-090,"""Beach City Drift""",1.29,Hilary Florido and Jesse Zuke
